timestep,temp_air,rh,wind_dir,wind_speed,dni,dhi
0,20.7,91,110,9.3,0,0
1,20.3,93,110,6.2,0,0
2,20.1,94,110,8.2,0,0
3,20.0,94,110,9.3,0,0
4,19.9,94,120,8.2,0,0
5,19.8,94,120,5.1,0,1
6,20.0,94,100,6.2,0,18
7,19.8,95,100,6.2,0,69
8,19.6,96,90,6.2,0,137
9,19.0,100,90,6.2,3,202
10,19.1,99,90,6.2,6,253
11,19.2,98,110,6.2,7,289
12,19.0,100,100,6.2,7,305
13,19.0,100,100,6.2,7,301
14,19.4,96,100,9.3,7,275
15,19.0,94,110,9.3,5,233
16,19.0,94,90,10.3,1,176
17,19.0,94,90,13.4,0,107
18,18.0,94,100,8.8,0,43
19,18.0,100,100,12.9,0,6
20,17.8,96,90,9.8,0,0
21,18.0,100,100,11.3,0,0
22,19.0,94,80,10.3,0,0
23,19.2,93,70,8.7,0,0
24,19.0,100,90,8.2,0,0
25,20.0,94,70,7.7,0,0
26,18.8,98,70,7.2,0,0
27,19.0,94,60,5.1,0,0
28,19.8,100,60,5.1,0,0
29,20.6,98,30,5.1,0,1
30,21.0,94,30,6.2,0,17
31,22.0,94,40,6.2,0,68
32,22.8,98,30,6.2,0,136
33,21.0,100,300,7.2,3,201
34,23.0,83,310,7.7,6,252
35,24.0,74,330,8.2,7,289
36,25.0,65,340,10.3,7,306
37,24.0,70,340,10.8,7,301
38,23.0,70,310,11.3,7,276
39,22.0,64,310,8.2,4,235
40,21.0,94,300,5.1,1,175
41,20.6,78,320,11.3,0,108
42,20.2,79,320,11.3,0,43
43,19.8,80,320,11.3,0,6
44,19.4,80,320,11.3,0,0
45,18.9,84,320,11.3,0,0
46,18.3,87,320,11.3,0,0
47,17.8,90,320,11.3,0,0
48,18.0,88,320,10.3,0,0
49,17.0,94,300,8.2,0,0
50,17.0,91,280,10.3,0,0
51,16.5,92,280,11.6,0,0
52,16.0,94,300,12.9,0,0
53,16.2,88,300,12.9,0,1
54,16.0,94,270,11.3,0,17
55,16.0,93,270,12.4,0,68
56,16.8,90,280,11.3,0,136
57,17.0,88,260,9.3,1,203
58,18.0,77,260,11.3,4,255
59,19.2,74,270,11.3,6,291
60,21.0,69,260,12.4,363,380
61,21.0,69,280,13.4,497,436
62,21.0,64,270,11.3,243,444
63,21.0,69,260,12.4,252,356
64,21.0,69,250,13.4,0,177
65,21.0,64,240,10.3,0,108
66,21.0,64,250,12.9,2,102
67,20.0,68,260,11.3,0,19
68,20.4,66,250,11.8,0,0
69,19.9,68,250,11.0,0,0
70,19.3,69,250,10.1,0,0
71,18.8,70,230,9.3,0,0
72,18.0,73,240,8.8,0,0
73,18.0,73,240,8.8,0,0
74,17.0,81,220,9.3,0,0
75,17.0,82,220,8.8,0,0
76,17.0,82,220,7.2,0,0
77,16.6,82,230,6.2,0,2
78,17.0,82,230,4.6,0,55
79,18.0,77,240,6.2,190,156
80,19.6,74,250,6.2,414,226
81,20.0,73,240,6.2,640,220
82,20.0,73,240,6.2,753,224
83,21.0,67,220,8.2,786,253
84,21.0,64,240,8.2,848,218
85,21.0,60,230,6.2,849,213
86,22.2,54,230,5.1,815,210
87,22.0,50,230,5.1,738,210
88,22.0,53,230,5.1,572,222
89,22.2,54,210,5.1,340,201
90,22.0,60,180,3.1,109,116
91,20.7,66,180,1.5,0,20
92,19.4,75,0,0.0,0,0
93,18.7,77,0,0.5,0,0
94,18.1,79,0,1.0,0,0
95,17.4,81,0,1.5,0,0
96,16.7,84,0,2.1,0,0
97,16.1,86,0,2.6,0,0
98,15.4,88,50,3.1,0,0
99,14.7,91,50,2.9,0,0
100,13.9,93,50,2.8,0,0
101,13.2,96,350,2.6,0,2
102,15.5,88,350,3.1,0,54
103,17.9,81,350,3.6,188,155
104,20.2,74,340,4.1,413,225
105,22.1,65,340,4.1,639,219
106,24.1,58,340,4.1,752,224
107,26.0,51,110,4.1,784,253
108,27.0,62,0,0.0,893,168
109,26.9,52,0,2.1,836,221
110,26.8,53,110,4.1,800,219
111,26.0,61,100,4.1,753,191
112,25.0,69,120,6.2,617,187
113,25.0,69,90,5.1,365,186
114,24.0,69,80,5.1,115,114
115,23.0,73,80,6.2,0,20
116,23.0,72,90,3.1,0,0
117,22.0,69,90,5.1,0,0
118,21.0,64,60,5.1,0,0
119,20.8,66,50,4.1,0,0
120,20.0,73,40,7.2,0,0
121,19.0,73,30,5.1,0,0
122,18.0,73,30,5.1,0,0
123,18.0,83,330,5.1,0,0
124,17.0,82,20,5.1,0,0
125,17.0,81,30,6.2,0,2
126,18.0,77,40,6.2,0,52
127,28.0,45,350,4.1,182,154
128,22.0,69,360,7.7,403,226
129,25.0,54,360,7.2,574,251
130,26.0,54,20,6.2,495,388
131,27.0,54,360,5.1,502,359
132,27.0,54,70,4.1,269,499
133,28.0,55,50,4.1,90,486
134,27.8,56,30,4.1,19,266
135,27.0,58,0,0.0,5,234
136,27.4,58,0,0.5,1,177
137,27.8,57,10,1.0,0,108
138,26.0,74,70,4.1,0,44
139,25.0,69,160,3.1,0,6
140,23.0,86,80,2.6,0,0
141,23.0,78,50,5.1,0,0
142,22.0,83,60,3.6,0,0
143,21.0,85,50,5.1,0,0
144,20.0,88,40,4.6,0,0
145,20.0,78,40,7.2,0,0
146,19.2,93,30,5.7,0,0
147,18.0,100,40,4.6,0,0
148,17.0,100,20,2.6,0,0
149,17.6,96,60,3.1,0,2
150,19.0,94,20,3.1,0,51
151,21.0,83,30,7.2,220,138
152,22.4,75,20,7.2,445,203
153,24.0,69,50,7.2,666,195
154,25.0,65,40,4.1,776,198
155,26.4,61,50,4.1,847,181
156,25.0,74,120,6.2,836,207
157,25.0,69,130,7.7,807,223
158,24.4,76,100,10.3,698,274
159,24.0,78,110,8.2,753,183
160,24.0,78,120,8.2,612,190
161,23.8,79,120,9.3,364,187
162,22.9,83,120,7.7,115,114
163,22.0,83,140,6.2,0,20
164,22.4,85,120,4.1,0,0
165,22.1,86,120,4.1,0,0
166,21.9,88,120,4.1,0,0
167,21.6,90,90,4.1,0,0
168,21.1,90,90,3.6,0,0
169,20.5,91,90,3.1,0,0
170,20.0,91,90,2.6,0,0
171,20.0,94,90,3.1,0,0
172,21.0,88,90,3.1,0,0
173,20.8,89,110,2.1,0,1
174,21.0,90,110,3.1,0,23
175,21.2,91,110,4.1,8,125
176,21.4,91,80,5.1,110,249
177,22.3,86,80,4.8,329,326
178,23.1,81,80,4.4,560,312
179,24.0,76,120,4.1,685,303
180,24.2,76,120,4.9,776,261
181,24.5,76,120,5.6,853,191
182,24.7,76,120,6.4,827,187
183,25.0,78,130,7.2,739,198
184,24.0,78,120,9.3,613,190
185,24.0,78,130,10.3,364,187
186,24.0,74,100,8.2,115,114
187,23.2,80,100,8.7,0,20
188,22.4,83,90,9.3,0,0
189,22.0,86,90,7.6,0,0
190,21.6,88,90,5.8,0,0
191,21.2,91,90,4.1,0,0
192,20.8,92,90,3.8,0,0
193,20.4,92,90,3.4,0,0
194,20.0,93,60,3.1,0,0
195,20.0,93,60,2.6,0,0
196,20.0,94,90,2.1,0,0
197,19.4,96,0,0.0,0,1
198,22.0,83,0,0.0,0,46
199,23.0,78,80,4.1,206,137
200,23.4,84,90,3.1,433,203
201,24.0,78,120,3.1,658,197
202,24.0,83,120,4.1,766,202
203,25.2,77,120,3.1,814,215
204,26.0,74,140,5.1,882,174
205,26.0,74,130,6.2,878,174
206,25.0,78,130,5.1,832,184
207,25.0,74,120,4.1,745,195
208,25.0,74,110,6.2,616,189
209,25.0,75,110,3.1,364,187
210,24.0,78,130,5.1,115,115
211,23.0,83,150,3.1,0,20
212,22.4,86,140,2.6,0,0
213,22.1,88,140,1.7,0,0
214,21.9,90,140,0.9,0,0
215,21.6,91,0,0.0,0,0
216,20.0,100,200,4.6,0,0
217,21.0,90,200,2.3,0,0
218,22.0,88,0,0.0,0,0
219,22.0,81,0,2.2,0,0
220,22.0,80,0,4.5,0,0
221,22.0,100,210,6.7,0,1
222,22.0,94,200,4.1,0,47
223,23.0,89,190,6.2,113,146
224,23.6,81,190,7.2,273,239
225,23.0,89,190,9.3,420,289
226,23.0,78,180,6.2,537,301
227,23.0,76,180,9.3,589,318
